ID,index,middle,ring,y
159,1870,987,899,1
160,1872,987,904,1
161,1872,988,902,1
162,1867,986,901,1
163,1872,986,901,1
164,1878,984,899,1
165,1874,984,904,1
166,1873,983,905,1
167,1872,984,902,1
168,1870,982,902,1
171,1282,1815,912,2
172,1276,1812,912,2
173,1273,1809,913,2
174,1271,1809,911,2
175,1270,1806,912,2
176,1266,1799,911,2
177,1268,1798,909,2
178,1266,1798,909,2
179,1267,1796,910,2
180,1267,1798,907,2
619,1251,928,1827,3
620,1251,930,1834,3
621,1249,932,1827,3
622,1252,932,1824,3
623,1252,933,1818,3
624,1253,937,1828,3
625,1257,942,1826,3
626,1253,943,1823,3
627,1254,943,1818,3
628,1252,939,1815,3
629,1268,1739,1782,4
630,1274,1740,1789,4
631,1279,1739,1780,4
632,1286,1743,1767,4
633,1290,1733,1739,4
634,1287,1733,1704,4
635,1286,1726,1683,4
636,1285,1735,1640,4
637,1286,1730,1603,4
638,1285,1727,1598,4
957,1863,982,1759,5
958,1861,991,1772,5
959,1858,991,1761,5
960,1856,992,1760,5
961,1848,993,1746,5
962,1849,996,1741,5
963,1848,1000,1737,5
964,1852,1000,1734,5
965,1859,1000,1730,5
966,1857,1000,1736,5
967,1856,1839,952,6
968,1856,1839,948,6
969,1856,1835,949,6
970,1856,1836,948,6
971,1856,1838,950,6
972,1857,1842,945,6
973,1854,1838,943,6
974,1860,1839,939,6
975,1859,1838,936,6
976,1860,1834,937,6
1434,1899,1744,1696,7
1435,1897,1743,1697,7
1436,1898,1745,1695,7
1437,1900,1755,1702,7
1438,1900,1758,1708,7
1439,1901,1760,1708,7
1440,1899,1758,1707,7
1441,1898,1756,1709,7
1442,1897,1756,1705,7
1443,1893,1750,1701,7
1444,1396,894,897,8
1445,1398,896,896,8
1446,1397,896,895,8
1447,1395,896,897,8
1448,1397,894,896,8
1449,1394,896,896,8
1450,1394,896,896,8
1451,1392,895,895,8
1452,1396,896,896,8
1453,1398,898,894,8